dataset,seed,mono_rate,flagged_models,gc_optimal,v_grand,v_max,has_signal,coverage,rank_stability
fri_c3_500_50,0,0.5,"LR,SVM,KNN",False,0.8275162337662338,0.898538961038961,True,-2.271995043370505,0.9999999999999999
fri_c3_500_50,1,0.4875,"LR,SVM,KNN",False,0.9200487012987013,0.963474025974026,True,-1.885507246376813,0.9999999999999999
fri_c3_500_50,2,0.4875,"LR,SVM,KNN",False,0.8616071428571429,0.9549512987012987,True,-2.0050505050505056,0.9999999999999999
fri_c3_500_50,3,0.4875,"LR,SVM,KNN",False,0.8421266233766234,0.9253246753246753,True,-2.393831553973903,0.9999999999999999
fri_c3_500_50,4,0.45,"LR,SVM,KNN",False,0.890827922077922,0.9541396103896104,True,-2.1661474558670815,0.9999999999999999
fri_c3_500_10,0,0.4375,"LR,SVM,KNN",False,0.9494949494949496,0.9723232323232323,True,-3.02067415730337,0.9999999999999999
fri_c3_500_10,1,0.475,"LR,SVM,KNN",False,0.938989898989899,0.9694949494949495,True,-3.119650253106304,0.9999999999999999
fri_c3_500_10,2,0.4875,"LR,SVM,KNN",False,0.8888888888888888,0.9458585858585858,True,-3.2150649350649334,0.9999999999999999
fri_c3_500_10,3,0.5,"LR,SVM,KNN",False,0.9131313131313131,0.9608080808080809,True,-2.6117359413202945,0.9999999999999999
fri_c3_500_10,4,0.4125,"LR,SVM,KNN",False,0.9309090909090909,0.9561616161616162,True,-2.953586497890296,0.9999999999999999
fri_c1_500_50,0,0.5125,"LR,SVM,KNN",False,0.7988782051282051,0.9395032051282051,True,-2.365281501340483,0.9999999999999999
fri_c1_500_50,1,0.5125,"LR,SVM,KNN",False,0.8305901244480128,0.9329586511441188,True,-2.24468731026108,0.9999999999999999
fri_c1_500_50,2,0.5125,"LR,SVM,KNN",False,0.8826121794871795,0.9619391025641025,True,-2.195811518324605,0.9999999999999999
fri_c1_500_50,3,0.4875,"LR,SVM,KNN",False,0.9050480769230769,0.9735576923076923,True,-1.991097922848665,0.9999999999999999
fri_c1_500_50,4,0.45,"LR,SVM,KNN",False,0.8858173076923076,0.9138621794871794,True,-2.5368639667705093,0.9999999999999999
fri_c4_500_100,0,0.525,"LR,SVM,KNN",False,0.8348214285714286,0.9395292207792207,True,-1.6666666666666663,0.9999999999999999
fri_c4_500_100,1,0.4875,"LR,SVM,KNN",False,0.8506493506493507,0.9411525974025974,True,-2.6585648148148153,0.9999999999999999
fri_c4_500_100,2,0.475,"LR,SVM,KNN",False,0.851461038961039,0.9301948051948051,True,-2.64665127020785,0.9999999999999999
fri_c4_500_100,3,0.4875,"LR,SVM,KNN",False,0.814935064935065,0.8956980519480521,True,-2.263530927835051,0.9999999999999999
fri_c4_500_100,4,0.525,"LR,SVM,KNN",False,0.8754058441558441,0.9411525974025974,True,-1.8664864864864863,0.9999999999999999
fri_c1_500_5,0,0.3375,LR,False,0.9642713769570455,0.9735046166198315,True,-3.627323821876349,0.9999999999999999
fri_c1_500_5,1,0.3125,"LR,SVM",False,0.9392109500805154,0.9512882447665056,True,-3.6576535288725944,0.9999999999999999
fri_c1_500_5,2,0.2625,LR,False,0.9795262946607789,0.9847450822962667,True,-3.54248639598158,0.9999999999999999
fri_c1_500_5,3,0.3875,"LR,KNN",False,0.9217181854676837,0.9504215174628663,True,-3.603046168491196,0.9999999999999999
fri_c1_500_5,4,0.3625,"LR,SVM",False,0.9879566439181052,0.9959855479727018,True,-3.328259975318799,0.9999999999999999
fri_c3_500_25,0,0.475,"LR,SVM,KNN",False,0.8640422077922078,0.9094967532467533,True,-2.8740245261984367,0.9999999999999999
fri_c3_500_25,1,0.4875,"LR,SVM,KNN",False,0.9253246753246753,0.9724025974025975,True,-2.313931297709923,0.9999999999999999
fri_c3_500_25,2,0.5,"LR,SVM,KNN",False,0.8818993506493508,0.9496753246753247,True,-2.6647183846971316,0.9999999999999999
fri_c3_500_25,3,0.4875,"LR,SVM,KNN",False,0.8372564935064934,0.9370941558441558,True,-3.0968712394705182,0.9999999999999999
fri_c3_500_25,4,0.45,"LR,SVM,KNN",False,0.9383116883116883,0.9691558441558441,True,-2.3499999999999983,0.9999999999999999
