dataset,seed,lambda,auc_roc,neg_brier
Heart Disease,2,1.1,0.8944444444444444,-0.1257385887278539
Heart Disease,2,1.2,0.8902777777777777,-0.1260333959431085
Heart Disease,2,1.3,0.8916666666666666,-0.12720388415714667
Heart Disease,2,1.4,0.8958333333333334,-0.1293141068611928
Heart Disease,2,1.5,0.8930555555555555,-0.1319232769168001
Heart Disease,2,1.6,0.8986111111111111,-0.13452454522971838
Heart Disease,2,1.7,0.8986111111111111,-0.1368392557363322
Heart Disease,2,1.8,0.8944444444444445,-0.13879080671717545
Heart Disease,2,1.9,0.8944444444444445,-0.1404011030476809
Heart Disease,2,2.0,0.8958333333333334,-0.14172341086893792
Heart Disease,3,0.0,0.9347222222222222,-0.10144836049357905
Heart Disease,3,0.1,0.9333333333333333,-0.10178450299682452
Heart Disease,3,0.2,0.9347222222222222,-0.10217025849051245
Heart Disease,3,0.3,0.9347222222222222,-0.10261394116498394
Heart Disease,3,0.4,0.9347222222222222,-0.10312449009099256
Heart Disease,3,0.5,0.9361111111111111,-0.10371066037916075
Heart Disease,3,0.6,0.9361111111111111,-0.10437939069796434
Heart Disease,3,0.7,0.9361111111111111,-0.10513289446752419
Heart Disease,3,0.8,0.9333333333333333,-0.10596404164650323
Heart Disease,3,0.9,0.9319444444444445,-0.10684999867989034
Heart Disease,3,1.0,0.9291666666666667,-0.10774519255804033
Heart Disease,3,1.1,0.9291666666666667,-0.10857644254110746
Heart Disease,3,1.2,0.9277777777777778,-0.10924449003452713
Heart Disease,3,1.3,0.9277777777777778,-0.10963517514185142
Heart Disease,3,1.4,0.9291666666666667,-0.10964003459680095
Heart Disease,3,1.5,0.9277777777777778,-0.1091841642518238
Heart Disease,3,1.6,0.9291666666666667,-0.10825978169098313
Heart Disease,3,1.7,0.9305555555555556,-0.10695586777571923
Heart Disease,3,1.8,0.9333333333333333,-0.10545557785087781
Heart Disease,3,1.9,0.9305555555555556,-0.10397990644553279
Heart Disease,3,2.0,0.9347222222222222,-0.1027065200273804
